Postcode,lat,lon
SK9 5AA,53.326203,-2.23362
SK9 5AF,53.325524,-2.236049
SK6 1QG,53.424731,-2.10348
SK9 1PZ,53.319121,-2.237499
M20 2RN,53.413163,-2.231434
M45 7SY,53.555524,-2.29567
SK9 1PL,53.32534,-2.233721
BL1 3QB,53.593032,-2.43925
BL1 3QD,53.592445,-2.437446
SK3 9ED,53.404175,-2.166588
M32 8WB,53.442878,-2.311071
M23 9TJ,53.4003,-2.296653
SK7 4AH,53.383972,-2.126969
BL1 3QN,53.591172,-2.434169
M12 4JH,53.457101,-2.200288
SK4 5BP,53.425454,-2.176588
M14 5LL,53.450195,-2.22138
M14 5LN,53.451519,-2.220816
SK3 9ET,53.40238,-2.170461
M19 3LY,53.444116,-2.181649
M19 3LX,53.444007,-2.182251
M12 4QN,53.449582,-2.191971
M19 2PA,53.44113,-2.19386
